,collection_name,repository_name,repository_user,repository_link,no_of_stars,no_of_forks,programming_lang,repository_desc
0,How to choose (and contribute to) your first open source project,rust-lang,rust,https://github.com/rust-lang/rust,82591,10914,Rust,Empowering everyone to build reliable and efficient software.
1,How to choose (and contribute to) your first open source project,Homebrew,brew,https://github.com/Homebrew/brew,36272,8889,Ruby,🍺 The missing package manager for macOS (or Linux)
2,How to choose (and contribute to) your first open source project,public-apis,public-apis,https://github.com/public-apis/public-apis,243582,27770,Python,A collective list of free APIs
3,How to choose (and contribute to) your first open source project,SerenityOS,serenity,https://github.com/SerenityOS/serenity,24978,2683,C++,The Serenity Operating System 🐞
4,How to choose (and contribute to) your first open source project,komodorio,helm-dashboard,https://github.com/komodorio/helm-dashboard,4042,218,Go,The missing UI for Helm - visualize your releases
5,How to choose (and contribute to) your first open source project,cloudquery,cloudquery,https://github.com/cloudquery/cloudquery,4693,376,Go,The open source high performance data integration platform built for developers.
6,How to choose (and contribute to) your first open source project,EddieHubCommunity,LinkFree,https://github.com/EddieHubCommunity/LinkFree,4097,3181,JavaScript,"Connect to your audience with a single link. Showcase the content you create and your projects in one place. Make it easier for people to find, follow and subscribe."
7,How to choose (and contribute to) your first open source project,Ileriayo,markdown-badges,https://github.com/Ileriayo/markdown-badges,8189,1198,SCSS,"Badges for your personal developer branding, profile, and projects."
8,Clean code linters,standard,standard,https://github.com/standard/standard,28271,2417,JavaScript,"🌟 JavaScript Style Guide, with linter & automatic code fixer"
9,Clean code linters,eslint,eslint,https://github.com/eslint/eslint,22815,4161,JavaScript,Find and fix problems in your JavaScript code.
10,Clean code linters,jshint,jshint,https://github.com/jshint/jshint,8900,1753,JavaScript,JSHint is a tool that helps to detect errors and potential problems in your JavaScript code
11,Clean code linters,clutchski,coffeelint,https://github.com/clutchski/coffeelint,1143,187,CoffeeScript,Lint your CoffeeScript.
12,Clean code linters,csscomb,csscomb.js,https://github.com/csscomb/csscomb.js,3245,482,JavaScript,CSS coding style formatter
13,Clean code linters,sds,scss-lint,https://github.com/sds/scss-lint,3612,481,Ruby,"Configurable tool for writing clean, consistent SCSS"
14,Clean code linters,htmlhint,HTMLHint,https://github.com/htmlhint/HTMLHint,2953,391,JavaScript,⚙️ The static code analysis tool you need for your HTML
15,Clean code linters,validator,validator,https://github.com/validator/validator,1459,292,Java,Nu Html Checker – Helps you catch problems in your HTML/CSS/SVG
